"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,6,0,80,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,81,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,82,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,83,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,84,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,85,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,86,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,87,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,88,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,89,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,90,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
